0,35,82920
1,35,210871
2,35,210872
3,40,141342
4,128,114
5,128,4584
6,128,6213
7,128,28487
8,130,114
9,130,6163
10,130,36802
11,130,39403
12,164,4637
13,164,4804
14,164,10177
15,164,12198
16,164,67415
17,288,40151
18,424,77758
19,424,197452
20,434,114
21,434,4649
22,434,6213
23,434,8703
24,434,10798
25,506,504
26,506,89416
27,887,35
28,887,198653
29,887,210871
30,910,906
31,910,5462
32,910,5869
33,910,25702
34,910,77758
35,940,941
36,943,20180
37,943,28265
38,1033,35
39,1033,41714
40,1033,45605
41,1034,1026
42,1034,1033
43,1034,1035
44,1035,35852
45,1035,45605
46,1213,8594
47,1272,4584
48,1272,13686
49,1385,6151
50,1385,6213
51,1385,13686
52,1385,28287
53,1688,35
54,1688,58758
55,1694,1688
56,1694,39474
57,1717,4330
58,1717,4335
59,1717,6913
60,1717,32688
61,1786,22563
62,1786,27895
63,1786,46547
64,1817,1956
65,1919,35778
66,1949,1952
67,1949,1953
68,1949,3097
69,1949,3112
70,1952,3097
71,1956,35
72,1956,936
73,1956,1955
74,1956,3828
75,1997,3233
76,1997,25772
77,2354,74749
78,2354,137790
79,2440,37483
80,2658,2665
81,2658,230879
82,2658,696345
83,2663,7047
84,2665,8581
85,2665,237489
86,2665,237521
87,2695,2696
88,2695,2698
89,2695,5348
90,2695,342802
91,2696,5348
92,2698,2695
93,2698,2696
94,3084,936
95,3084,143323
96,3084,198653
97,3085,20193
98,3085,566653
99,3085,566664
100,3095,1951
101,3095,10430
102,3097,1959
103,3097,82664
104,3097,82666
105,3101,1949
106,3101,1952
107,3101,3097
108,3112,77826
109,3112,77829
110,3187,5086
111,3191,3192
112,3191,5086
113,3191,16008
114,3191,39890
115,3192,3191
116,3192,15987
117,3192,16008
118,3220,22563
119,3229,6184
120,3229,29492
121,3229,30817
122,3229,144408
123,3231,6334
124,3231,10169
125,3231,17798
126,3231,39127
127,3231,39131
128,3233,1997
129,3233,3236
130,3233,3240
131,3233,49811
132,3237,3231
133,3237,3236
134,3237,49660
135,3237,116528
136,3240,97377
137,3828,936
138,3828,940
139,3828,941
140,3828,943
141,3932,22386
142,3932,74975
143,4329,4330
144,4330,6913
145,4330,12638
146,4637,12169
147,4660,2653
148,4660,12182
149,4660,18615
150,4660,18619
151,4804,9515
152,4804,10177
153,4804,12210
154,4804,12350
155,4878,1481
156,5038,4660
157,5038,12182
158,5038,38722
159,5038,65650
160,5062,3085
161,5062,20193
162,5064,5062
163,5064,5069
164,5064,5075
165,5064,28026
166,5069,5062
167,5069,5064
168,5069,5075
169,5069,28026
170,5069,177115
171,5075,3932
172,5086,3187
173,5086,3191
174,5086,3192
175,5348,2696
176,5462,910
177,5600,54550
178,5869,910
179,5869,2696
180,5959,37483
181,6125,1246
182,6125,2653
183,6125,12210
184,6125,12350
185,6125,59626
186,6130,672064
187,6130,672070
188,6130,672071
189,6151,887
190,6151,4584
191,6151,6213
192,6152,6151
193,6152,193742
194,6155,114
195,6155,4584
196,6155,6151
197,6155,6213
198,6155,6214
199,6163,6213
200,6163,6220
201,6163,6224
202,6163,124064
203,6169,28227
204,6170,114
205,6170,117
206,6184,4584
207,6184,6213
208,6184,6214
209,6184,19621
210,6196,114
211,6196,4584
212,6196,6214
213,6210,4584
214,6210,6213
215,6210,28350
216,6210,28489
217,6213,887
218,6213,4584
219,6213,6151
220,6214,117
221,6214,4584
222,6214,6151
223,6214,6213
224,6215,887
225,6215,6213
226,6215,6214
227,6217,10796
228,6217,28412
229,6220,114
230,6220,6213
231,6220,28350
232,6220,28412
233,6220,124064
234,6224,6213
235,6224,6214
236,6224,6215
237,6224,6220
238,6224,124064
239,6311,8224
240,6311,20584
241,6311,46887
242,6334,3231
243,6334,6767
244,6334,10169
245,6334,39131
246,6378,6214
247,6378,6385
248,6378,10183
249,6539,9716
250,6539,12350
251,6539,85688
252,6539,157805
253,6639,3218
254,6639,8224
255,6639,22431
256,6767,3218
257,6767,22563
258,6771,1999
259,6771,22563
260,6771,24974
261,6771,32083
262,6771,89547
263,6775,6784
264,6818,29723
265,6818,300806
266,6898,12631
267,6898,12638
268,6898,124224
269,6910,6898
270,6910,12631
271,6910,12638
272,6910,263553
273,6910,444191
274,6913,646286
275,6913,646289
276,6917,1272
277,6917,2440
278,6917,4649
279,6917,135765
280,6917,135766
281,6923,1272
282,6923,2440
283,6923,72908
284,6925,6767
285,6925,57932
286,6935,63915
287,6935,101811
288,6939,63915
289,6939,63931
290,6941,3218
291,6941,6923
292,6941,93923
293,7022,3229
294,7032,1997
295,7276,1365
296,7276,7272
297,7276,7297
298,7276,19621
299,7297,1365
300,7297,7272
301,7297,19621
302,7297,49482
303,7419,6169
304,7419,6213
305,7419,20534
306,7430,28504
307,7430,95594
308,7430,145384
309,7430,365294
310,7432,114
311,7432,23774
312,7532,7537
313,7532,80491
314,7537,7532
315,7867,4983
316,8079,27249
