28456,101263
39131,10169
10186,10174
10430,10183
1034,1026
9513,102879
9513,102884
1034,1033
1034,1035
41417,10435
31097,10796
20193,10798
23507,10981
25413,11148
11339,11326
35070,11335
44017,11339
12960,116021
25772,116528
39403,117
8766,1213
12199,12158
4637,12169
27199,12194
27612,12198
12165,12211
16451,12347
27612,12350
42847,123825
6224,124064
6898,124224
42207,1246
25805,124734
28290,12576
12638,12631
39403,128
40125,131042
17208,13193
13208,13205
13208,13212
17476,13269
23069,134315
23069,134320
8581,135464
6917,135765
39904,1365
13656,13652
13656,13658
23258,136665
23070,137130
38000,13717
10186,137790
13024,137956
42847,13885
13960,13966
34979,13982
44368,14062
35061,141342
34082,14428
3229,144408
22229,144701
7430,145384
14549,14545
25702,15076
23507,152731
41666,15429
8687,155158
12558,15670
10169,158614
15892,15889
3192,16008
39165,162664
16474,16437
16474,16471
25805,166989
44368,1688
32872,17201
33013,17476
4660,18615
18615,18619
28964,18770
18785,18781
20920,18811
20920,18815
36802,189566
31927,194609
3101,1949
3101,1952
1817,1956
19045,195792
42847,19621
20178,20179
943,20180
30973,20193
20593,20584
42207,20601
38205,210871
22874,218682
22241,22229
38846,22386
22566,22564
10435,22566
22876,22869
22876,22874
22876,22883
2658,230879
41666,23116
25413,232606
12275,233106
23502,23507
27250,23738
2665,237489
7432,23774
15076,24043
40124,24966
27174,25181
23116,253762
1997,25772
27250,2654
43639,2665
5869,2696
2695,2698
12330,2702
35343,27174
27531,27530
27531,27543
28254,27631
23738,27895
20526,28227
943,28265
1385,28287
28287,28290
35863,28359
27631,28412
23258,28485
8213,28487
13193,28489
7430,28504
32260,28632
12182,28649
35922,28957
35905,29723
29723,300806
3229,30817
33303,3084
30901,30895
12960,30934
3101,3097
1949,3112
43698,31353
39165,31483
40605,31489
5086,3187
5086,3192
40922,3220
39126,3231
1997,3233
39130,3240
1717,32688
23502,330148
34708,33412
33818,33823
34266,34257
34263,34266
2695,342802
31043,34961
22229,35061
35343,35335
41732,35852
28359,35863
20528,36167
7430,365294
37888,36802
30901,368431
5959,37483
1956,3828
38845,38846
6334,39131
39210,39199
5075,3932
130,39403
1694,39474
3191,39890
13686,40135
288,40151
40583,40605
44455,41714
27199,42209
42209,42221
35922,4335
6910,444191
36167,4584
8703,4649
6311,46887
7297,49482
3237,49660
3233,49811
35922,50336
14807,50354
506,504
28026,5062
28026,5064
5069,5075
3191,5086
39890,51049
12350,51180
28336,54129
5600,54550
910,5462
33303,5600
3085,566653
3085,566664
28287,56709
28456,57119
13024,58268
33895,58758
6214,6151
27631,6184
38480,6209
38480,6214
32260,62274
10793,6238
14083,62676
40605,633081
16819,642621
16819,643239
37483,64519
6913,646289
39210,66982
39210,66986
6130,672064
6130,672071
31769,67246
38722,67415
35797,6784
37884,6814
37884,6818
12631,6898
4330,6913
8581,69198
18615,6935
2658,696345
7276,7297
14431,73119
35778,73146
10186,74749
7537,7532
37888,77438
9513,77515
3112,77829
33818,78552
31863,79809
13656,80656
35,82920
12576,83725
18582,84021
23258,85299
19621,853115
8703,85688
18834,86359
38000,8687
34266,87482
8875,8865
38205,887
8875,8872
8875,8874
28471,89547
34355,906
34263,90655
13885,90888
20178,91852
39165,92589
28265,940
42207,95225
32698,95719
28674,9716
39130,97377
33907,97645
27606,10177
6935,101811
27514,103482
3095,10430
43698,10531
28336,108047
39199,11093
39403,114
28336,117315
38829,117328
28641,12182
38722,12195
12247,12199
12182,12210
12165,12238
16474,12337
14807,123556
16451,12359
6910,12638
16843,126793
30901,1272
39403,130
6917,135766
1385,13686
37541,137380
17242,137849
20534,13972
40125,141596
3084,143323
34082,14429
34082,14430
40124,145176
13960,1481
35854,15431
6539,157805
3192,15987
16471,16474
16474,16476
12347,16485
39474,1694
32872,17208
5069,177115
39131,17798
35797,1786
33013,18777
20920,18812
18833,18832
18833,18834
30934,19231
6152,193742
31932,194617
3095,1951
1949,1953
1956,1955
38839,1959
40124,19697
424,197452
3084,198653
7032,1997
39126,1999
38829,20178
40131,202639
23774,20534
20593,20592
42207,20602
20924,20923
35,210872
34263,213246
31932,215912
12247,219239
6639,22431
36140,22563
39904,22835
22876,22875
28447,22886
23070,23069
18251,23258
25413,232605
23507,23502
40151,2354
27230,23546
2665,237521
27230,2440
40125,24974
33303,255233
910,25702
28202,25791
6910,263553
28641,2653
2698,2695
23545,27230
8079,27249
34961,27535
12198,27612
28254,27623
28254,27627
28254,27632
5069,28026
28227,28350
28641,28640
36167,288
20924,289885
20924,294030
29708,29492
39474,307015
30973,3085
38839,310530
31349,31336
39165,31479
5086,3191
31932,31927
35061,32083
35070,3218
39199,32276
35922,3229
20942,3232
3237,3236
31932,3243
33303,33301
12960,33325
33904,33895
40125,34315
13982,34979
44368,35
1919,35778
29723,35905
17208,36131
35797,36140
20528,36162
5038,38722
3231,39127
39131,39130
39126,39165
16461,43186
28254,4329
37884,4330
31349,43698
41714,44455
27250,45052
34266,45533
1035,45605
164,4637
27249,46468
37541,46491
1786,46547
18615,4660
25805,4804
7867,4983
13269,50337
33904,503893
5064,5069
25794,50838
34961,51866
22883,51879
14545,51934
39199,52515
2696,5348
31927,563613
28287,56708
6925,57932
910,5869
6125,59626
8699,5966
35335,59772
30895,59798
28456,61069
28641,6125
28202,6163
20526,6169
28387,6196
38480,6213
6224,6215
6224,6220
28387,6224
41216,62417
20833,6318
40583,632874
20850,6334
40605,633585
28473,6378
28473,6385
38000,63915
13717,63931
38829,64271
16819,643221
6913,646286
23070,65074
23116,65212
5038,65650
8821,66594
8821,66596
39210,66990
6130,672070
31769,67245
9708,6741
6925,6767
20857,6923
14549,7047
36167,70520
7297,7272
6923,72908
28447,73323
34266,74427
23070,74698
23069,74700
38846,74975
22431,75121
7532,7537
25772,77758
3112,77826
9586,78511
33818,78555
33818,78557
7532,80491
39124,8079
30895,8224
3097,82664
3097,82666
22874,83449
19621,853114
19621,853116
2665,8581
8591,8594
36145,8617
36145,8619
18532,86923
27535,8703
23070,87915
18582,8875
506,89416
42847,910
31863,91581
20178,91853
38845,936
6941,93923
28265,941
3828,943
9513,9515
7430,95594
28447,95642
32698,95718
33818,9586
33907,97390
